"","fishery_avg_exposure","sd","pctrank"
"lob_warming",0.296923076923077,0.558594253784331,0.807692307692308
"herr_warming",0.335585585585586,0.502252275102446,0.923076923076923
"men_warming",-0.184738955823293,0.569741056180167,0.0384615384615385
"sclp_warming",0.25,0.439524536495766,0.615384615384615
"cod_warming",0.391203703703704,0.531313803991389,1
"hadk_warming",0.154639175257732,0.505722817967301,0.269230769230769
"polk_warming",0.28125,0.46475630998724,0.769230769230769
"halbt_warming",0.20440251572327,0.510068984159227,0.461538461538462
"wht_hake_warming",0.198019801980198,0.418803103622646,0.384615384615385
"dabs_warming",0.198630136986301,0.379507411245497,0.423076923076923
"gry_sole_warming",0.25,0.424918292799399,0.615384615384615
"windowpane_warming",0.276470588235294,0.419082631590526,0.730769230769231
"yellowtail_warming",0.355555555555556,0.451243254140149,0.961538461538462
"wnt_flnder_warming",0.333333333333333,0.495073771488337,0.884615384615385
"redfish_warming",0.205263157894737,0.502624689950035,0.5
"monkfish_warming",0.142045454545455,0.448169095476273,0.230769230769231
"skates_warming",0.0567010309278351,0.45572908996072,0.192307692307692
"whiting_warming",0.181818181818182,0.42332712128996,0.307692307692308
"red_hake_warming",0.261538461538462,0.376120121974146,0.692307692307692
"red_crab_warming",0.195402298850575,0.466034245167748,0.346153846153846
"clams_warming",0.32,0.464952583090591,0.846153846153846
"squid_warming",-0.0371621621621622,0.498607640301191,0.0769230769230769
"dogfish_warming",0,0.557187146603248,0.153846153846154
"summer_flnder_warming",0.211538461538462,0.538679783695245,0.538461538461538
"scup_warming",-0.00403225806451613,0.535321375026921,0.115384615384615
"black_seabass_warming",-0.252873563218391,0.550215739182257,0
"other_warming",0.246666666666667,0.533277401988905,0.576923076923077
