"","fishery","avg_exposure","avg_sensitivity","avg_ac","ac_sd","avg_risk","risk_sd","avg_risk_euc","avg_vulnerability","avg_vulnerabilty_euc"
"1","CPS",0.672619047619048,0.515873015873016,0.523809523809524,0.12972407745974,1.18849206349206,0.343765865969159,0.862213052368733,0.66468253968254,0.992608531994785
"2","dungeness crab",0.620089285714286,0.536226064499874,0.467013888888889,0.168193695320605,1.14793681795635,0.362043604554329,0.846201577512382,0.68092292906746,1.01451878563563
"3","geoduck",0.732638888888889,0.552083333333333,0.421296296296296,0.191981759250127,1.28472222222222,0.310875406744435,0.919696717653185,0.863425925925926,1.09484434606767
"4","groundfish",0.65715811965812,0.502780388471178,0.438746438746439,0.155990865322763,1.1470467032967,0.409431816178932,0.855090825348532,0.708300264550265,1.03197102180052
"5","hake",0.513888888888889,0.407407407407407,0.527777777777778,0.146986183948033,0.921296296296296,0.501220218884803,0.689832969554666,0.393518518518518,0.869403580132458
"6","HMS",0.668669871794872,0.510779151404151,0.439727463312369,0.155400549397691,1.15719526804432,0.380382317114926,0.86252541464172,0.717467804731955,1.03714996552859
"7","razor clam",0.525,0.666666666666667,0.433333333333333,0.269744964140227,0.925000000000001,0.448505749581216,0.832537251075595,0.491666666666666,1.13508536198204
"8","salmon",0.727200742682394,0.532090125840126,0.418154761904762,0.163246492380134,1.23506147250567,0.380326275644424,0.926818697559725,0.816906710600907,1.1084252183674
"9","scallops",0.68452380952381,0.524305555555556,0.388888888888889,0.117851130197757,1.20882936507937,0.0203433498555716,0.872067594773525,0.819940476190476,1.06817511071675
"10","sea cucumber",0.713474025974026,0.542929292929293,0.373737373737374,0.143996975900407,1.25640331890332,0.329268656890401,0.907895024435578,0.882665945165946,1.11120847151136
"11","sea urchin",0.774404761904762,0.550245098039216,0.375816993464052,0.155938778650471,1.32464985994398,0.349437501912485,0.965728826804887,0.948832866479926,1.15738144690535
"12","shrimp",0.605519480519481,0.523358585858586,0.449494949494949,0.140994145431701,1.12887806637807,0.214835903829197,0.822272133742133,0.679383116883116,0.997279805187967
"13","squid",0.6375,0.538888888888889,0.55,0.023240556292613,1.17638888888889,0.301647994101865,0.843711638083504,0.626388888888889,0.960755912440608
