,groups,assets,flexibility,organization,learning,sociocog,agency,ac
1,1,0.460691824,0.397169811,0.366037736,0.577830189,0.696540881,0.435534591,2.933805031
2,2,0.724178404,0.425352113,0.638028169,0.832746479,0.680751174,0.598591549,3.899647887
3,3,0.61622807,0.317105263,0.298684211,0.572368421,0.281798246,0.274122807,2.360307018
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
                    PC1         PC2          PC3         PC4         PC5,,,,,,,,
assets       0.02696012  0.62254350 -0.772608341 -0.07170398  0.09815311,,,,,,,,
flexibility  0.03050222  0.14510259 -0.008527488  0.66006448 -0.49308150,,,,,,,,
organization 0.44434219  0.32468188  0.341681055  0.23286468  0.68701933,,,,,,,,
learning     0.40035572  0.47674351  0.377569896 -0.46480208 -0.50259325,,,,,,,,
sociocog     0.65227583 -0.50533277 -0.368271440 -0.24239922 -0.03676757,,,,,,,,
agency       0.46384730 -0.05762735,,,,,,,,
